EmployeeID,EmployeeCount,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,IncomeBand,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
520,1,43,36-44,No,"Travel Rarely",982,"Research & Development",12,3,"Life Sciences",1,Male,59,2,4,"Research Director",2,Divorced,14336,10k-15k,4345,1,No,11,3,3,1,25,3,3,25,10,3,9
521,1,40,36-44,No,"Travel Rarely",555,"Research & Development",2,3,Medical,2,Female,78,2,2,"Laboratory Technician",3,Married,3448,1k-5k,13436,6,No,22,4,2,1,20,3,3,1,0,0,0
522,1,54,54-60,No,"Travel Rarely",821,"Research & Development",5,2,Medical,1,Male,86,3,5,"Research Director",1,Married,19406,15k-20k,8509,4,No,11,3,3,1,24,4,2,4,2,1,2
523,1,34,27-35,No,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,"Sales Executive",3,Married,6538,5k-10k,12740,9,No,15,3,1,1,6,3,3,3,2,1,2
524,1,31,27-35,No,"Travel Rarely",480,"Research & Development",7,2,Medical,2,Female,31,3,2,"Manufacturing Director",1,Married,4306,1k-5k,4156,1,No,12,3,2,1,13,5,1,13,10,3,12
525,1,43,36-44,No,"Travel Frequently",313,"Research & Development",21,3,Medical,4,Male,61,3,1,"Laboratory Technician",4,Married,2258,1k-5k,15238,7,No,20,4,1,1,8,1,3,3,2,1,2
526,1,43,36-44,No,"Travel Rarely",1473,"Research & Development",8,4,Other,3,Female,74,3,2,"Healthcare Representative",3,Divorced,4522,1k-5k,2227,4,Yes,14,3,4,0,8,3,3,5,2,0,2
527,1,25,18-26,No,"Travel Rarely",891,Sales,4,2,"Life Sciences",2,Female,99,2,2,"Sales Executive",4,Single,4487,1k-5k,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3
529,1,37,36-44,No,Non-Travel,1063,"Research & Development",25,5,Medical,2,Female,72,3,2,"Research Scientist",3,Married,4449,1k-5k,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7
530,1,31,27-35,No,"Travel Rarely",329,"Research & Development",1,2,"Life Sciences",4,Male,98,2,1,"Laboratory Technician",1,Married,2218,1k-5k,16193,1,No,12,3,3,1,4,3,3,4,2,3,2
531,1,39,36-44,No,"Travel Frequently",1218,"Research & Development",1,1,"Life Sciences",2,Male,52,3,5,Manager,3,Divorced,19197,15k-20k,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6
532,1,56,54-60,No,"Travel Frequently",906,Sales,6,3,"Life Sciences",3,Female,86,4,4,"Sales Executive",1,Married,13212,10k-15k,18256,9,No,11,3,4,3,36,0,2,7,7,7,7
533,1,30,27-35,No,"Travel Rarely",1082,Sales,12,3,"Technical Degree",2,Female,83,3,2,"Sales Executive",3,Single,6577,5k-10k,19558,0,No,11,3,2,0,6,6,3,5,4,4,4
534,1,41,36-44,No,"Travel Rarely",645,Sales,1,3,Marketing,2,Male,49,4,3,"Sales Executive",1,Married,8392,5k-10k,19566,1,No,16,3,3,1,10,2,3,10,7,0,7
536,1,28,27-35,No,"Travel Rarely",1300,"Research & Development",17,2,Medical,3,Male,79,3,2,"Laboratory Technician",1,Divorced,4558,1k-5k,13535,1,No,12,3,4,1,10,2,3,10,0,1,8
538,1,25,18-26,Yes,"Travel Rarely",688,"Research & Development",3,3,Medical,1,Male,91,3,1,"Laboratory Technician",1,Married,4031,1k-5k,9396,5,No,13,3,3,1,6,5,3,2,2,0,2
543,1,52,45-53,No,"Travel Rarely",319,"Research & Development",3,3,Medical,4,Male,39,2,3,"Manufacturing Director",3,Married,7969,5k-10k,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4
544,1,45,45-53,No,"Travel Rarely",192,"Research & Development",10,2,"Life Sciences",1,Male,69,3,1,"Research Scientist",4,Married,2654,1k-5k,9655,3,No,21,4,4,2,8,3,2,2,2,0,2
546,1,52,45-53,No,"Travel Rarely",1490,"Research & Development",4,2,"Life Sciences",4,Female,30,3,4,Manager,4,Married,16555,15k-20k,10310,2,No,13,3,4,0,31,2,1,5,2,1,4
547,1,42,36-44,No,"Travel Frequently",532,"Research & Development",29,2,"Life Sciences",1,Female,92,3,2,"Research Scientist",3,Divorced,4556,1k-5k,12932,2,No,11,3,2,1,19,3,3,5,4,0,2
548,1,30,27-35,No,"Travel Rarely",317,"Research & Development",2,3,"Life Sciences",3,Female,43,1,2,"Manufacturing Director",4,Single,6091,5k-10k,24793,2,No,20,4,3,0,11,2,3,5,4,0,2
549,1,60,54-60,No,"Travel Rarely",422,"Research & Development",7,3,"Life Sciences",1,Female,41,3,5,Manager,1,Married,19566,15k-20k,3854,5,No,11,3,4,0,33,5,1,29,8,11,10
550,1,46,45-53,No,"Travel Rarely",1485,"Research & Development",18,3,Medical,3,Female,87,3,2,"Manufacturing Director",3,Divorced,4810,1k-5k,26314,2,No,14,3,3,1,19,5,2,10,7,0,8
551,1,42,36-44,No,"Travel Frequently",1368,"Research & Development",28,4,"Technical Degree",4,Female,88,2,2,"Healthcare Representative",4,Married,4523,1k-5k,4386,0,No,11,3,4,3,7,4,4,6,5,0,4
554,1,24,18-26,Yes,"Travel Rarely",1448,Sales,1,1,"Technical Degree",1,Female,62,3,1,"Sales Representative",2,Single,3202,1k-5k,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4
555,1,34,27-35,Yes,"Travel Frequently",296,Sales,6,2,Marketing,4,Female,33,1,1,"Sales Representative",3,Divorced,2351,1k-5k,12253,0,No,16,3,4,1,3,3,2,2,2,1,0
556,1,38,36-44,No,"Travel Frequently",1490,"Research & Development",2,2,"Life Sciences",4,Male,42,3,1,"Laboratory Technician",4,Married,1702,1k-5k,12106,1,Yes,23,4,3,1,1,3,3,1,0,0,0
558,1,40,36-44,No,"Travel Rarely",1398,Sales,2,4,"Life Sciences",3,Female,79,3,5,Manager,3,Married,18041,15k-20k,13022,0,No,14,3,4,0,21,2,3,20,15,1,12
560,1,26,18-26,No,"Travel Rarely",1349,"Research & Development",23,3,"Life Sciences",1,Female,90,3,1,"Research Scientist",4,Divorced,2886,1k-5k,3032,1,No,22,4,2,2,3,3,1,3,2,0,2
562,1,30,27-35,No,Non-Travel,1400,"Research & Development",3,3,"Life Sciences",3,Male,53,3,1,"Laboratory Technician",4,Married,2097,1k-5k,16734,4,No,15,3,3,1,9,3,1,5,3,1,4
564,1,29,27-35,No,"Travel Rarely",986,"Research & Development",3,4,Medical,2,Male,93,2,3,"Research Director",3,Married,11935,10k-15k,21526,1,No,18,3,3,0,10,2,3,10,2,0,7
565,1,29,27-35,Yes,"Travel Rarely",408,"Research & Development",25,5,"Technical Degree",3,Female,71,2,1,"Research Scientist",2,Married,2546,1k-5k,18300,5,No,16,3,2,0,6,2,4,2,2,1,1
566,1,19,18-26,Yes,"Travel Rarely",489,"Human Resources",2,2,"Technical Degree",1,Male,52,2,1,"Human Resources",4,Single,2564,1k-5k,18437,1,No,12,3,3,0,1,3,4,1,0,0,0
567,1,30,27-35,No,Non-Travel,1398,Sales,22,4,Other,3,Female,69,3,3,"Sales Executive",1,Married,8412,5k-10k,2890,0,No,11,3,3,0,10,3,3,9,8,7,8
568,1,57,54-60,No,"Travel Rarely",210,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,14118,10k-15k,22102,3,No,12,3,3,1,32,3,2,1,0,0,0
569,1,50,45-53,No,"Travel Rarely",1099,"Research & Development",29,4,"Life Sciences",2,Male,88,2,4,Manager,3,Married,17046,15k-20k,9314,0,No,15,3,2,1,28,2,3,27,10,15,7
571,1,30,27-35,No,Non-Travel,1116,"Research & Development",2,3,Medical,3,Female,49,3,1,"Laboratory Technician",4,Single,2564,1k-5k,7181,0,No,14,3,3,0,12,2,2,11,7,6,7
573,1,60,54-60,No,"Travel Frequently",1499,Sales,28,3,Marketing,3,Female,80,2,3,"Sales Executive",1,Married,10266,10k-15k,2845,4,No,19,3,4,0,22,5,4,18,13,13,11
574,1,47,45-53,No,"Travel Rarely",983,"Research & Development",2,2,Medical,1,Female,65,3,2,"Manufacturing Director",4,Divorced,5070,5k-10k,7389,5,No,13,3,3,3,20,2,3,5,0,0,4
575,1,46,45-53,No,"Travel Rarely",1009,"Research & Development",2,3,"Life Sciences",1,Male,51,3,4,"Research Director",3,Married,17861,15k-20k,2288,6,No,13,3,3,0,26,2,1,3,2,0,1
577,1,35,27-35,No,"Travel Rarely",144,"Research & Development",22,3,"Life Sciences",4,Male,46,1,1,"Laboratory Technician",3,Single,4230,1k-5k,19225,0,No,15,3,3,0,6,2,3,5,4,4,3
578,1,54,54-60,No,"Travel Rarely",548,"Research & Development",8,4,"Life Sciences",3,Female,42,3,2,"Laboratory Technician",3,Single,3780,1k-5k,23428,7,No,11,3,3,0,19,3,3,1,0,0,0
579,1,34,27-35,No,"Travel Rarely",1303,"Research & Development",2,4,"Life Sciences",4,Male,62,2,1,"Research Scientist",3,Divorced,2768,1k-5k,8416,3,No,12,3,3,1,14,3,3,7,3,5,7
580,1,46,45-53,No,"Travel Rarely",1125,Sales,10,3,Marketing,3,Female,94,2,3,"Sales Executive",4,Married,9071,5k-10k,11563,2,Yes,19,3,3,1,15,3,3,3,2,1,2
581,1,31,27-35,No,"Travel Rarely",1274,"Research & Development",9,1,"Life Sciences",3,Male,33,3,3,"Manufacturing Director",2,Divorced,10648,10k-15k,14394,1,No,25,4,4,1,13,6,4,13,8,0,8
582,1,33,27-35,Yes,"Travel Rarely",1277,"Research & Development",15,1,Medical,2,Male,56,3,3,Manager,3,Married,13610,10k-15k,24619,7,Yes,12,3,4,0,15,2,4,7,6,7,7
584,1,33,27-35,Yes,"Travel Rarely",587,"Research & Development",10,1,Medical,1,Male,38,1,1,"Laboratory Technician",4,Divorced,3408,1k-5k,6705,7,No,13,3,1,3,8,2,3,4,3,1,3
585,1,30,27-35,No,"Travel Rarely",413,Sales,7,1,Marketing,4,Male,57,3,1,"Sales Representative",2,Single,2983,1k-5k,18398,0,No,14,3,1,0,4,3,3,3,2,1,2
586,1,35,27-35,No,"Travel Rarely",1276,"Research & Development",16,3,"Life Sciences",4,Male,72,3,3,"Healthcare Representative",3,Married,7632,5k-10k,14295,4,Yes,12,3,3,0,10,2,3,8,7,0,0
587,1,31,27-35,Yes,"Travel Frequently",534,"Research & Development",20,3,"Life Sciences",1,Male,66,3,3,"Healthcare Representative",3,Married,9824,5k-10k,22908,3,No,12,3,1,0,12,2,3,1,0,0,0
590,1,34,27-35,Yes,"Travel Frequently",988,"Human Resources",23,3,"Human Resources",2,Female,43,3,3,"Human Resources",1,Divorced,9950,5k-10k,11533,9,Yes,15,3,3,3,11,2,3,3,2,0,2
591,1,42,36-44,No,"Travel Frequently",1474,"Research & Development",5,2,Other,2,Male,97,3,1,"Laboratory Technician",3,Married,2093,1k-5k,9260,4,No,17,3,4,1,8,4,3,2,2,2,0
592,1,36,36-44,No,Non-Travel,635,Sales,10,4,Medical,2,Male,32,3,3,"Sales Executive",4,Single,9980,5k-10k,15318,1,No,14,3,4,0,10,3,2,10,3,9,7
593,1,22,18-26,Yes,"Travel Frequently",1368,"Research & Development",4,1,"Technical Degree",3,Male,99,2,1,"Laboratory Technician",3,Single,3894,1k-5k,9129,5,No,16,3,3,0,4,3,3,2,2,1,2
595,1,48,45-53,No,"Travel Rarely",163,Sales,2,5,Marketing,2,Female,37,3,2,"Sales Executive",4,Married,4051,1k-5k,19658,2,No,14,3,1,1,14,2,3,9,7,6,7
597,1,55,54-60,No,"Travel Rarely",1117,Sales,18,5,"Life Sciences",1,Female,83,3,4,Manager,2,Single,16835,15k-20k,9873,3,No,23,4,4,0,37,2,3,10,9,7,7
599,1,41,36-44,No,Non-Travel,267,Sales,10,2,"Life Sciences",4,Male,56,3,2,"Sales Executive",4,Single,6230,5k-10k,13430,7,No,14,3,4,0,16,3,3,14,3,1,10
600,1,35,27-35,No,"Travel Rarely",619,Sales,1,3,Marketing,2,Male,85,3,2,"Sales Executive",3,Married,4717,1k-5k,18659,9,No,11,3,3,0,15,2,3,11,9,6,9
601,1,40,36-44,No,"Travel Rarely",302,"Research & Development",6,3,"Life Sciences",2,Female,75,3,4,"Manufacturing Director",3,Single,13237,10k-15k,20364,7,No,15,3,3,0,22,3,3,20,6,5,13
602,1,39,36-44,No,"Travel Frequently",443,"Research & Development",8,1,"Life Sciences",3,Female,48,3,1,"Laboratory Technician",3,Married,3755,1k-5k,17872,1,No,11,3,1,1,8,3,3,8,3,0,7
604,1,31,27-35,No,"Travel Rarely",828,Sales,2,1,"Life Sciences",2,Male,77,3,2,"Sales Executive",4,Single,6582,5k-10k,8346,4,Yes,13,3,3,0,10,2,4,6,5,0,5
605,1,42,36-44,No,"Travel Rarely",319,"Research & Development",24,3,Medical,4,Male,56,3,3,"Manufacturing Director",1,Married,7406,5k-10k,6950,1,Yes,21,4,4,1,10,5,2,10,9,5,8
606,1,45,45-53,No,"Travel Rarely",561,Sales,2,3,Other,4,Male,61,3,2,"Sales Executive",2,Married,4805,1k-5k,16177,0,No,19,3,2,1,9,3,4,8,7,3,7
608,1,26,18-26,Yes,"Travel Frequently",426,"Human Resources",17,4,"Life Sciences",2,Female,58,3,1,"Human Resources",3,Divorced,2741,1k-5k,22808,0,Yes,11,3,2,1,8,2,2,7,7,1,0
611,1,29,27-35,No,"Travel Rarely",232,"Research & Development",19,3,"Technical Degree",4,Male,34,3,2,"Manufacturing Director",4,Divorced,4262,1k-5k,22645,4,No,12,3,2,2,8,2,4,3,2,1,2
612,1,33,27-35,No,"Travel Rarely",922,"Research & Development",1,5,Medical,1,Female,95,4,4,"Research Director",3,Divorced,16184,15k-20k,22578,4,No,19,3,3,1,10,2,3,6,1,0,5
613,1,31,27-35,No,"Travel Rarely",688,Sales,7,3,"Life Sciences",3,Male,44,2,3,Manager,4,Divorced,11557,10k-15k,25291,9,No,21,4,3,1,10,3,2,5,4,0,1
614,1,18,18-26,Yes,"Travel Frequently",1306,Sales,5,3,Marketing,2,Male,69,3,1,"Sales Representative",2,Single,1878,1k-5k,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0
615,1,40,36-44,No,Non-Travel,1094,Sales,28,3,Other,3,Male,58,1,3,"Sales Executive",1,Divorced,10932,10k-15k,11373,3,No,15,3,3,1,20,2,3,1,0,0,1
616,1,41,36-44,No,Non-Travel,509,"Research & Development",2,4,Other,1,Female,62,2,2,"Healthcare Representative",3,Single,6811,5k-10k,2112,2,Yes,17,3,1,0,10,3,3,8,7,0,7
618,1,26,18-26,No,"Travel Rarely",775,Sales,29,2,Medical,1,Male,45,3,2,"Sales Executive",3,Divorced,4306,1k-5k,4267,5,No,12,3,1,2,8,5,3,0,0,0,0
620,1,35,27-35,No,"Travel Rarely",195,Sales,1,3,Medical,1,Female,80,3,2,"Sales Executive",3,Single,4859,1k-5k,6698,1,No,16,3,4,0,5,3,3,5,4,0,3
621,1,34,27-35,No,"Travel Rarely",258,Sales,21,4,"Life Sciences",4,Male,74,4,2,"Sales Executive",4,Single,5337,5k-10k,19921,1,No,12,3,4,0,10,3,3,10,7,5,7
622,1,26,18-26,Yes,"Travel Rarely",471,"Research & Development",24,3,"Technical Degree",3,Male,66,1,1,"Laboratory Technician",4,Single,2340,1k-5k,23213,1,Yes,18,3,2,0,1,3,1,1,0,0,0
623,1,37,36-44,No,"Travel Rarely",799,"Research & Development",1,3,"Technical Degree",2,Female,59,3,3,"Manufacturing Director",4,Single,7491,5k-10k,23848,4,No,17,3,4,0,12,3,4,6,5,1,2
624,1,46,45-53,No,"Travel Frequently",1034,"Research & Development",18,1,Medical,1,Female,86,3,3,"Healthcare Representative",3,Married,10527,10k-15k,8984,5,No,11,3,4,0,28,3,2,2,2,1,2
625,1,41,36-44,No,"Travel Rarely",1276,Sales,2,5,"Life Sciences",2,Female,91,3,4,Manager,1,Married,16595,15k-20k,5626,7,No,16,3,2,1,22,2,3,18,16,11,8
626,1,37,36-44,No,Non-Travel,142,Sales,9,4,Medical,1,Male,69,3,3,"Sales Executive",2,Divorced,8834,5k-10k,24666,1,No,13,3,4,1,9,6,3,9,5,7,7
630,1,52,45-53,No,"Travel Rarely",956,"Research & Development",6,2,"Technical Degree",4,Male,78,3,2,"Research Scientist",1,Divorced,5577,5k-10k,22087,3,Yes,12,3,2,2,18,3,3,10,9,6,9
631,1,32,27-35,Yes,Non-Travel,1474,Sales,11,4,Other,4,Male,60,4,2,"Sales Executive",3,Married,4707,1k-5k,23914,8,No,12,3,4,0,6,2,3,4,2,1,2
632,1,24,18-26,No,"Travel Frequently",535,Sales,24,3,Medical,4,Male,38,3,1,"Sales Representative",4,Married,2400,1k-5k,5530,0,No,13,3,3,2,3,3,3,2,2,2,1
634,1,38,36-44,No,"Travel Rarely",1495,"Research & Development",10,3,Medical,3,Female,76,3,2,"Healthcare Representative",3,Married,9824,5k-10k,22174,3,No,19,3,3,1,18,4,3,1,0,0,0
635,1,37,36-44,No,"Travel Rarely",446,"Research & Development",1,4,"Life Sciences",2,Female,65,3,2,"Manufacturing Director",2,Married,6447,5k-10k,15701,6,No,12,3,2,1,8,2,2,6,5,4,3
638,1,49,45-53,No,"Travel Rarely",1245,"Research & Development",18,4,"Life Sciences",4,Male,58,2,5,"Research Director",3,Divorced,19502,15k-20k,2125,1,Yes,17,3,3,1,31,5,3,31,9,0,9
639,1,24,18-26,No,"Travel Rarely",691,"Research & Development",23,3,Medical,2,Male,89,4,1,"Research Scientist",4,Married,2725,1k-5k,21630,1,Yes,11,3,2,2,6,3,3,6,5,1,4
641,1,26,18-26,No,"Travel Rarely",703,Sales,28,2,Marketing,1,Male,66,3,2,"Sales Executive",2,Married,6272,5k-10k,7428,1,No,20,4,4,2,6,5,4,5,3,1,4
643,1,24,18-26,No,"Travel Rarely",823,"Research & Development",17,2,Other,4,Male,94,2,1,"Laboratory Technician",2,Married,2127,1k-5k,9100,1,No,21,4,4,1,1,2,3,1,0,0,0
644,1,50,45-53,No,"Travel Frequently",1246,"Human Resources",3,3,Medical,1,Male,99,3,5,Manager,2,Married,18200,15k-20k,7999,1,No,11,3,3,1,32,2,3,32,5,10,7
645,1,25,18-26,No,"Travel Rarely",622,Sales,13,1,Medical,2,Male,40,3,1,"Sales Representative",3,Married,2096,1k-5k,26376,1,No,11,3,3,0,7,1,3,7,4,0,6
647,1,24,18-26,Yes,"Travel Frequently",1287,"Research & Development",7,3,"Life Sciences",1,Female,55,3,1,"Laboratory Technician",3,Married,2886,1k-5k,14168,1,Yes,16,3,4,1,6,4,3,6,3,1,2
648,1,30,27-35,Yes,"Travel Frequently",448,Sales,12,4,"Life Sciences",2,Male,74,2,1,"Sales Representative",1,Married,2033,1k-5k,14470,1,No,18,3,3,1,1,2,4,1,0,0,0
649,1,34,27-35,No,"Travel Rarely",254,"Research & Development",1,2,"Life Sciences",2,Male,83,2,1,"Research Scientist",4,Married,3622,1k-5k,22794,1,Yes,13,3,4,1,6,3,3,6,5,1,3
650,1,31,27-35,Yes,"Travel Rarely",1365,Sales,13,4,Medical,2,Male,46,3,2,"Sales Executive",1,Divorced,4233,1k-5k,11512,2,No,17,3,3,0,9,2,1,3,1,1,2
652,1,35,27-35,No,"Travel Rarely",538,"Research & Development",25,2,Other,1,Male,54,2,2,"Laboratory Technician",4,Single,3681,1k-5k,14004,4,No,14,3,4,0,9,3,3,3,2,0,2
653,1,31,27-35,No,"Travel Rarely",525,Sales,6,4,Medical,1,Male,66,4,2,"Sales Executive",4,Divorced,5460,5k-10k,6219,4,No,22,4,4,2,13,4,4,7,7,5,7
655,1,27,27-35,No,"Travel Rarely",798,"Research & Development",6,4,Medical,1,Female,66,2,1,"Research Scientist",3,Divorced,2187,1k-5k,5013,0,No,12,3,3,2,6,5,2,5,3,0,3
656,1,37,36-44,No,"Travel Rarely",558,Sales,2,3,Marketing,4,Male,75,3,2,"Sales Executive",3,Married,9602,5k-10k,3010,4,Yes,11,3,3,1,17,3,2,3,0,1,0
657,1,20,18-26,No,"Travel Rarely",959,"Research & Development",1,3,"Life Sciences",4,Female,83,2,1,"Research Scientist",2,Single,2836,1k-5k,11757,1,No,13,3,4,0,1,0,4,1,0,0,0
659,1,42,36-44,No,"Travel Rarely",622,"Research & Development",2,4,"Life Sciences",3,Female,81,3,2,"Healthcare Representative",4,Married,4089,1k-5k,5718,1,No,13,3,2,2,10,4,3,10,2,2,2
661,1,43,36-44,No,"Travel Rarely",782,"Research & Development",6,4,Other,2,Male,50,2,4,"Research Director",4,Divorced,16627,15k-20k,2671,4,Yes,14,3,3,1,21,3,2,1,0,0,0
662,1,38,36-44,No,"Travel Rarely",362,"Research & Development",1,1,"Life Sciences",3,Female,43,3,1,"Research Scientist",1,Single,2619,1k-5k,14561,3,No,17,3,4,0,8,3,2,0,0,0,0
663,1,43,36-44,No,"Travel Frequently",1001,"Research & Development",9,5,Medical,4,Male,72,3,2,"Laboratory Technician",3,Divorced,5679,5k-10k,19627,3,Yes,13,3,2,1,10,3,3,8,7,4,7
664,1,48,45-53,No,"Travel Rarely",1236,"Research & Development",1,4,"Life Sciences",4,Female,40,2,4,Manager,1,Married,15402,15k-20k,17997,7,No,11,3,1,1,21,3,1,3,2,0,2
665,1,44,36-44,No,"Travel Rarely",1112,"Human Resources",1,4,"Life Sciences",1,Female,50,2,2,"Human Resources",3,Single,5985,5k-10k,26894,4,No,11,3,2,0,10,1,4,2,2,0,2
666,1,34,27-35,No,"Travel Rarely",204,Sales,14,3,"Technical Degree",3,Female,31,3,1,"Sales Representative",3,Divorced,2579,1k-5k,2912,1,Yes,18,3,4,2,8,3,3,8,2,0,6
667,1,27,27-35,Yes,"Travel Rarely",1420,Sales,2,1,Marketing,3,Male,85,3,1,"Sales Representative",1,Divorced,3041,1k-5k,16346,0,No,11,3,2,1,5,3,3,4,3,0,2
669,1,21,18-26,No,"Travel Rarely",1343,Sales,22,1,"Technical Degree",3,Male,49,3,1,"Sales Representative",3,Single,3447,1k-5k,24444,1,No,11,3,3,0,3,2,3,3,2,1,2
671,1,44,36-44,No,"Travel Rarely",1315,"Research & Development",3,4,Other,4,Male,35,3,5,Manager,4,Married,19513,15k-20k,9358,4,Yes,12,3,1,1,26,2,4,2,2,0,1
675,1,22,18-26,No,"Travel Rarely",604,"Research & Development",6,1,Medical,1,Male,69,3,1,"Research Scientist",3,Married,2773,1k-5k,12145,0,No,20,4,4,0,3,3,3,2,2,2,2
677,1,33,27-35,No,"Travel Rarely",1216,Sales,8,4,Marketing,3,Male,39,3,2,"Sales Executive",3,Divorced,7104,5k-10k,20431,0,No,12,3,4,0,6,3,3,5,0,1,2
679,1,32,27-35,No,"Travel Rarely",646,"Research & Development",9,4,"Life Sciences",1,Female,92,3,2,"Research Scientist",4,Married,6322,5k-10k,18089,1,Yes,12,3,4,1,6,2,2,6,4,0,5
680,1,30,27-35,No,"Travel Frequently",160,"Research & Development",3,3,Medical,3,Female,71,3,1,"Research Scientist",3,Divorced,2083,1k-5k,22653,1,No,20,4,3,1,1,2,3,1,0,0,0
682,1,53,45-53,No,"Travel Rarely",238,Sales,1,1,Medical,4,Female,34,3,2,"Sales Executive",1,Single,8381,5k-10k,7507,7,No,20,4,4,0,18,2,4,14,7,8,10
683,1,34,27-35,No,"Travel Rarely",1397,"Research & Development",1,5,"Life Sciences",2,Male,42,3,1,"Research Scientist",4,Married,2691,1k-5k,7660,1,No,12,3,4,1,10,4,2,10,9,8,8
684,1,45,45-53,Yes,"Travel Frequently",306,Sales,26,4,"Life Sciences",1,Female,100,3,2,"Sales Executive",1,Married,4286,1k-5k,5630,2,No,14,3,4,2,5,4,3,1,1,0,0
686,1,26,18-26,No,"Travel Rarely",991,"Research & Development",6,3,"Life Sciences",3,Female,71,3,1,"Laboratory Technician",4,Married,2659,1k-5k,17759,1,Yes,13,3,3,1,3,2,3,3,2,0,2
689,1,37,36-44,No,"Travel Rarely",482,"Research & Development",3,3,Other,3,Male,36,3,3,"Manufacturing Director",3,Married,9434,5k-10k,9606,1,No,15,3,3,1,10,2,3,10,7,7,8
690,1,29,27-35,No,"Travel Rarely",1176,Sales,3,2,Medical,2,Female,62,3,2,"Sales Executive",3,Married,5561,5k-10k,3487,1,No,14,3,1,1,6,5,2,6,0,1,2
691,1,35,27-35,No,"Travel Rarely",1017,"Research & Development",6,4,"Life Sciences",2,Male,82,1,2,"Research Scientist",4,Single,6646,5k-10k,19368,1,No,13,3,2,0,17,3,3,17,11,11,8
692,1,33,27-35,No,"Travel Frequently",1296,"Research & Development",6,3,"Life Sciences",3,Male,30,3,2,"Healthcare Representative",4,Divorced,7725,5k-10k,5335,3,No,23,4,3,1,15,2,1,13,11,4,7
698,1,54,54-60,No,"Travel Rarely",397,"Human Resources",19,4,Medical,3,Male,88,3,3,"Human Resources",2,Married,10725,10k-15k,6729,2,No,15,3,3,1,16,1,4,9,7,7,1
699,1,36,36-44,No,"Travel Rarely",913,"Research & Development",9,2,Medical,2,Male,48,2,2,"Manufacturing Director",2,Divorced,8847,5k-10k,13934,2,Yes,11,3,3,1,13,2,3,3,2,0,2
700,1,27,27-35,No,"Travel Rarely",1115,"Research & Development",3,4,Medical,1,Male,54,2,1,"Research Scientist",4,Single,2045,1k-5k,15174,0,No,13,3,4,0,5,0,3,4,2,1,1
701,1,20,18-26,Yes,"Travel Rarely",1362,"Research & Development",10,1,Medical,4,Male,32,3,1,"Research Scientist",3,Single,1009,1k-5k,26999,1,Yes,11,3,4,0,1,5,3,1,0,1,1
702,1,33,27-35,Yes,"Travel Frequently",1076,"Research & Development",3,3,"Life Sciences",1,Male,70,3,1,"Research Scientist",1,Single,3348,1k-5k,3164,1,Yes,11,3,1,0,10,3,3,10,8,9,7
704,1,35,27-35,No,Non-Travel,727,"Research & Development",3,3,"Life Sciences",3,Male,41,2,1,"Laboratory Technician",3,Married,1281,1k-5k,16900,1,No,18,3,3,2,1,3,3,1,0,0,0
705,1,23,18-26,No,"Travel Rarely",885,"Research & Development",4,3,Medical,1,Male,58,4,1,"Research Scientist",1,Married,2819,1k-5k,8544,2,No,16,3,1,1,5,3,4,3,2,0,2
707,1,25,18-26,No,"Travel Rarely",810,Sales,8,3,"Life Sciences",4,Male,57,4,2,"Sales Executive",2,Married,4851,1k-5k,15678,0,No,22,4,3,1,4,4,3,3,2,1,2
709,1,38,36-44,No,"Travel Rarely",243,Sales,7,4,Marketing,4,Female,46,2,2,"Sales Executive",4,Single,4028,1k-5k,7791,0,No,20,4,1,0,8,2,3,7,7,0,5
710,1,29,27-35,No,"Travel Frequently",806,"Research & Development",1,4,"Life Sciences",2,Male,76,1,1,"Research Scientist",4,Divorced,2720,1k-5k,18959,1,No,18,3,4,1,10,5,3,10,7,2,8
712,1,48,45-53,No,"Travel Rarely",817,Sales,2,1,Marketing,2,Male,56,4,2,"Sales Executive",2,Married,8120,5k-10k,18597,3,No,12,3,4,0,12,3,3,2,2,2,2
714,1,27,27-35,No,"Travel Frequently",1410,Sales,3,1,Medical,4,Female,71,4,2,"Sales Executive",4,Divorced,4647,1k-5k,16673,1,Yes,20,4,2,2,6,3,3,6,5,0,4
715,1,37,36-44,No,"Travel Rarely",1225,"Research & Development",10,2,"Life Sciences",4,Male,80,4,1,"Research Scientist",4,Single,4680,1k-5k,15232,3,No,17,3,1,0,4,2,3,1,0,0,0
